1337	Pontiac Firebird T/A
1348	Peugeot 308 GTI
1352	Dodge Coronet Super Bee
1355	Ford Mustang GT Coupe
1368	BMW M5 '88
1369	Pagani Zonda Cinque Roadster
1370	Audi Avant RS2
1380	Volkswagen Scirocco S
1381	Mitsubishi Galant VR-4
1382	Subaru Legacy RS
1383	Volkswagen GTI VR6 Mk3
1385	BMW 1 Series M Coupé
1386	Aston Martin DBR1
1387	Volvo 850 R
1388	BMW M5 '12
1392	Lamborghini Sesto Elemento 
1395	Toyota MR2 SC
1426	Mazda RX-8
1429	Chevrolet Nova SS 396
1440	#62 Ferrari Risi Competizione 458 Italia GTC
1457	#4 McLaren M8B
1462	Maserati 300 S
1480	Mazda RX-7 GSL-SE
1481	Austin-Healey 3000 MKIII
1486	Ford Lotus Cortina
1487	MG MGA Tiwn-Cam
1490	Vauxhall Astra VXR '12
1493	BMW 850CSi
1500	Mercedes-Benz C 63 AMG Black
1511	Holden Monaro GTS 327
1513	Maserati Ghibli Cup
1514	Mazda RX-3
1517	Toyota Celica GT-Four RC ST185
1519	Aston Martin V8 Vantage V600
1524	Maserati Tipo 61 Birdcage
1525	Mercedes-Benz SLK 55 AMG
1533	Holden Torana A9X
1535	Lexus GS350 F Sport
1537	Toyota Corolla SR5
1539	Porsche 911 GT2 RS '12
1550	Astona Martin DB4 GT Zagato
1551	#18 Aston Martin AMR 1
1553	#66 Chaparral 2E
1559	Mercedes-Benz 300 SLR
1560	#63 Mercedes-Benz Sauber C9
1562	Dodge SRT Viper GTS
1572	AMC Rebel 'The Machine'
1573	#4 Audi 90 Quattro IMSA GTO
1575	Chevrolet Monte Carl SS
1578	Ferrari 250 GT Berlinetta Lusso
1580	Ford Escort RS1600
1583	Lamborghini Aventador J
1587	Mazda Cosmo 110S Series II
1589	MG MGB GT
1591	Peugeot 205 Turbo 16
1592	Toyota Celica GT
1598	BMW M3 GTS
1599	Ferrari 599XX Evo
1607	Audi RS 4 Avant '13
1612	Volkswagen Scirocco 16V
1620	Dodge Challenger SRT8
1651	Ariel Atom 500 V8
1652	Caterham Superlight R500
1653	KTM X-Bow R
1655	Subaru BRZ '13
1658	Mercedes-Benz A 45 AMG
1662	Mini Cooper S
1663	Infiniti IPL G Coupe
1665	Citroen DS 3 Racing
1667	McLaren P1
1668	Ford Mustang Boss 302
1670	#2 McLaren MP4/4
1671	McLaren M2B
1672	#11 McLaren M23
2003	Mini John Cooper Works GP '12
2004	Mazda MX-5 '13
2005	Honda S2000 CR
2006	Chevrolet Corvette ZR1 '95
2009	Audi RS 7 Sportback
2010	Audi R8 Coupe V10 plus
2015	#1 Ferrari 312 T2
2018	BMW M6 Coupe
2019	Ford Focus RS '03
2024	Lotus Type 49
2033	Brabham BT24
2034	Ferrari LaFerrari
2038	Alfa Romeo 4C
2040	BAC Mono
2042	Lamborghini Veneno
2051	Maserati Ghibli S Q4
2066	Bugatti Type 35 C
2068	Maserati 8CTF
2069	Mercedes-Benz W154
2083	Mazda Formula Mazda
2096	Auto Union Type D
2097	Lexus IS 350 F Sport
2103	#6 BMW M1 Procar
2104	Dodge Dart GT
2105	Donkervoort D8 GTO
2112	#25 BMW 3.0 CSL
2125	#2 Ford Zakspeed Racing Capri Turbo
2126	#1 Ferrari 641
2131	HSV GEN-F GTS
2133	BMW I8
2142	Volkswagen Golf R '14
2149	Renault Clio Williams
2158	Ford Fiesta XR2
2160	Opel Kadett GT/E
2162	Jaguar F-Type R Coupe
2164	Lamborghini Huracan LP 610-4
2165	Lotus Evora S
2166	Infiniti Q50 Eau Rouge
2168	Subaru WRX STI '15
2175	Lexus RC F
2177	Chevrolet Corvette Z06 '15
2178	Audi RS 4 Avant '01
2179	Audi S1
2180	Audi RS 6 Avant '15
2181	Aston Martin V12 Vantage S 
2184	Ferrari 458 Speciale
2185	Jaguar XFR-S
2186	Ferrari 500 Mondial
2189	McLaren 650S Coupe
2193	BMW 323ti Sport
2194	Ferrari California T
2203	Holden VL Commodore Group A SV
2205	Honda S800
2207	Lamborghini Jarama S
2209	Mazda 323 GT-R
2226	#3 Chevrolet Corvette C7.R
2229	#93 Dodge SRT Viper GTS-R
2235	Jaguar XKR-S GT
2240	#70 Mazda Lola B12/80
2255	Mazda MX-5 Miata '90
2262	Cadillac ATS-V
2265	Honda RA300
2266	#5 Lotus 77
2267	Mazda MX-5 '16
2268	Ferrari 250 LM
2269	#21 Nissan R382
2270	Nissan Skyline H/T 2000GT-R
2271	#2 Audi R18 e-tron Quattro
2272	Datsun 2000 Roadster
2275	Eagle-Weslake T1G
2289	Porsche 911 Turbo S
2290	Porsche 918 Spyder
2293	Porsche Cayman GTS
2299	Porsche 356A Speedster
2302	#8 Toyota TS040 Hybrid
2312	#10 Lola Simoniz Special T163
2314	#17 Ford Focus ST BTCC
2315	#72 Ferrari 512 BBLM
2333	#15 Mercury Cougar XR-7
2334	#62 Mazda RX-7
2352	Acura NSX
2357	Ford Focus RS '17
2363	Ford GT '17
2368	#23 Nissan GT-R LM Nismo
2371	Ferrari FXX K
2379	#63 Lamborghini Squadra Corse Huracan Super Trofeo
2400	Ford Mustang Shelby GT350R
2401	Ferrari F-158 F1
2403	#17 Bentley Continental GT3
2409	#02 Ford Riley MK XXVI DP
2417	Holden HQ Monaro GTS 350
2421	Cadillac CTS-V Sedan
2423	#6 Lola T70 MkIIIB
2426	Alpine GTA Le Mans
2427	Vauxhall Corsa VXR
2434	#99 Toyota Eagle Mk III
2467	Ferrari 488 GTB
2468	Dodge Charger SRT Hellcat
2470	Aston Martin Vulcan
2471	Mercedes-AMG C 63 S Coupe
2473	Audi R8 V10 Plus
2475	Spania GTA Spano
2479	Lamborghini Aventador Superveloce
2481	McLaren P1 GTR
2482	#20 Nissan Bluebird
2483	#23 Nissan R91CP
2485	#10 Chevrolet Corvette DP
2486	Radical RXC Turbo
2488	#33 Datsun 280ZX Turbo
2493	Aston Martin Vantage GT12
2506	Maserati A6GCS/53
2512	Nissan Skyline GTS-R (HR31)
2514	Ford Falcon GT
2523	Chevrolet Camaro SS
2528	Porsche 911 GT3 RS '16
2532	Porsche 924 Carrera GTS
2534	Porsche 968 Turbo S
2535	Porsche 928 GTS
2537	Porsche 718 RS 60
2538	#91 Porsche 991 RSR
2541	Lotus 3-Eleven
2542	Alfa Romeo Giulia Quadrifoglio
2543	#66 Ford GT Le Mans
2544	Dodge Viper ACR
2549	#3 Porsche 917 LH
2559	Jaguar Mk II 3.8
2569	Ultima Evolution Coupe 1020
2577	Ferrari F12tdf
2580	Ford Falcon GT F 351
2581	Chyrsler VH Valiant Charger R/T
2582	HSV GTSR
2614	Ford Mustang GT 2+2 Fastback
2616	Lamborghini Centenario LP 770-4
2618	Nissan GT-R (R35)
2624	Bugatti Chiron
2628	BMW M4 GTS
2647	Pagani Huayra BC
2654	Mercedes-AMG GT R
2659	Nissan Silvia K's Aero
2665	Bentley Continental Supersports
2739	Chevrolet Camaro ZL1
2740	Abarth 124 Spider
2741	Porsche Panamera Turbo
2755	Porsche 911 GT2 RS '18
2760	#17 Ford Falcon FG X
2774	#2 Porsche 919 Hybrid
2775	#92 Porsche 911 RSR
2776	#76 Chevrolet Corvette
2792	#2 Ford GT40 Mk II Le Mans
2793	#24 Ferrari 330 P4
2794	Porsche 911 Turbo S Leichtbau
2796	#24 Holden VF Commodore
2797	Nissan Altima Racecar
2800	#44 Jaguar XJR-5
2801	#11 Nissan Skyline Turbo
2817	Honda Prelude Type SH
2823	Nissan R380 II
2824	#24 BMW M6 GTLM
2826	#1 Jaguar XJR-9
2840	#33 Nissan 300ZX
2844	Vuhl 05RR
2846	McLaren 720S Coupe
2852	#1 Audi RS 3 LMS
